(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO	LUTDZDAPSDZVAL-RBUKOAKNSA-M
1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C=CCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO	GESRECYVWPNAJC-UHFFFAOYSA-M
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO	BVJSKAUUFXBDOB-LEWJYISDSA-M
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO	JSKJPUCKVIJTKI-PNHFMCTPSA-N
1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO	HFJVKBVEKQHVTO-XZOQPEGZSA-M
1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO	FQQQKGAFQIIGLQ-SNZQZGEVSA-M
1-Aminopropan-2-ol	C[C@@H](O)C[NH3+]	HXKKHQJGJAFBHI-GSVOUGTGSA-O
1-Pyrroline-5-carboxylate	O=C([O-])[C@@H]1CCC=N1	DWAKNKKXGALPNW-BYPYZUCNSA-M
1-deoxy-D-xylulose	CC(=O)[C@@H](O)[C@H](O)CO	IGUZJYCAXLYZEE-RFZPGFLSSA-N
1-deoxy-D-xylulose 5-phosphate	CC(=O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]	AJPADPZSRRUGHI-RFZPGFLSSA-L
1-dodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	STTKJLVEXMKLNA-CQSZACIVSA-L
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO	MDSIZRKJVDMQOQ-GORDUTHDSA-K
