3-Oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxohexadecanoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
3-Oxooctadecanoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Octaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)[O-])C)C)C)C)C)C)C)C
3-Oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-5,6-dehydrosuberyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC=CCC(=O)O)O
3-Phospho-D-glycerate	C(C(C(=O)O)O)OP(=O)(O)O
3-Phosphohydroxypyruvate	C(C(=O)C(=O)O)OP(=O)(O)O
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O
3-Sulfino-L-alanine	C(C(C(=O)O)N)S(=O)O
4-Aminobutanoate	C(CC(=O)O)CN
4-Aminobutanal	C(CC=O)CN
4-Aminobenzoate	C1=CC(=CC=C1C(=O)[O-])N
4-aminobenzoyl-glutamate	C1=CC(=CC=C1C(=O)NC(CCC(=O)[O-])C(=O)[O-])N
4-amino-4-deoxychorismate	C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
4-Amino-5-hydroxymethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)CO
4-Amino-2-methyl-5-phosphomethylpyrimidine	CC1=NC=C(C(=N1)N)COP(=O)(O)O
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O
P-Cresol	CC1=CC=C(C=C1)O
4-Hydroxy-2-oxopentanoate	CC(CC(=O)C(=O)[O-])O
4-Hydroxybenzoate	C1=CC(=CC=C1C(=O)O)O
4-Hydroxyphenylacetaldehyde	C1=CC(=CC=C1CC=O)O
4-Hydroxy-L-threonine	C(C(C(C(=O)O)N)O)O
4-Methyl-5-(2-hydroxyethyl)-thiazole	CC1=C(SC=N1)CCO
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)O
4-Phospho-L-aspartate	C(C(C(=O)O)N)C(=O)OP(=O)(O)O
4-Phospho-D-erythronate	C(C(C(C(=O)O)O)O)OP(=O)(O)O
D-4'-Phosphopantothenate	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
N-((R)-4-Phosphopantothenoyl)-L-cysteine	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
4-(1-D-Ribitylamino)-5-aminouracil	C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
5,6-dihydrouracil	C1CNC(=O)NC1=O
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)O
5-Amino-4-oxopentanoate	C(CC(=O)O)C(=O)CN
5-Amino-6-(5'-phosphoribitylamino)uracil	C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
5-Amino-6-(5'-phosphoribosylamino)uracil	C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O
5-Dehydro-D-gluconate	C(C(=O)C(C(C(C(=O)[O-])O)O)O)O
5-Dehydro-4-deoxy-D-glucarate	C(C(C(C(=O)O)O)O)C(=O)C(=O)O
5'-deoxyribose	CC(C(C(C=O)O)O)O
5-Formyltetrahydrofolate	C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
5-Methylthioadenosine	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5-Methyltetrahydrofolate	CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
5-Methylthio-D-ribose	CSCC1C(C(C(O1)O)O)O
Phenylhydantoin	C1=CC=C(C=C1)C2C(=O)NC(=O)N2
Phenylureidoacetic acid	CC(=O)NC(=O)NC1=CC=CC=C1
N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
