(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	QKBTYZDPVNTERQ-UWVCYPHHSA-N
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	CCCCC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	KRXOUZZWQXTUIB-IDERWEGCSA-N
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	MENFZXMQSYYVRK-CRCGJGBYSA-N
(5)ppPur-mRNA	[*][C@@H]1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](COP(=O)(O)OP(=O)(O)O)O[C@@H]([*])[C@@H]3O)O[C@@H]([*])[C@@H]2O)[C@@H](O)[C@H]1O	
(5-L-glutamyl)-L-amino acid	C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O	WQXXXVRAFAKQJM-WHFBIAKZSA-N
(5S,6S)-epoxy-(15R)-hydroxy-ETE	CCCCC[C@H](O)C=CC=CC=C/C=C/[C@H]1O[C@H]1CCCC(=O)[O-]	YNHSGCYEQVDEOY-VCUQBBRCSA-M
(5Z)-dodecenoyl-CoA	CCCCCC/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	RCVJZGBRLGUTKT-CGGPSVLLSA-J
(5Z,8Z,11Z)-eicosatrienoyl-CoA	CCCCCCCCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	XVHUACBAJILXGX-LQHPWBDPSA-N
(5Z,8Z,11Z,14Z)-eicosatetraenedioate	O=C([O-])CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)[O-]	BGOJKUCHTMYINI-DTLRTWKJSA-L
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	JWZLRYCDDXHXDL-LCMHIRPZSA-N
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	CCC=CC/C=C\C/C=C\C/C=C\CC=CCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	USUPQTJPNBGUSJ-QGYZSDAXSA-N
(6Z,9Z)-octadecadienoic acid	CCCCCCCCC=CCC=CCCCCC(=O)O	ZMKDEQUXYDZSNN-UTJQPWESSA-N
(6Z,9Z)-octadecadienoyl-CoA	CCCCCCCCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	JCRYGPFEDHBITQ-CJZWLNCGSA-N
(6Z,9Z)-octadecadienoylcarnitine	CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	MJLXQSQYKZWZCB-OKLKQMLOSA-N
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	DDHCSALWDPRVCN-USWKVXSKSA-N
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	CC/C=C\C/C=C\CC/C=C\CC/C=C\CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	UQCYGYDOQKYSDD-IIWKRHCOSA-N
(6Z,9Z,12Z,15Z,18Z)-TPA	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)[O-]	VENRYLMOFDSSDJ-WMPRHZDHSA-M
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	XZYNVQDKYRHKFG-QOJZHLSOSA-N
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	CCCCCC=CCC=CCC=CCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	STKKPHPBAFXMLG-UHFFFAOYSA-N
(6Z,9Z,12Z,15Z,18Z,21Z)-THA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC=CCCCCC(=O)[O-]	YHGJECVSSKXFCJ-ZPWIVGABSA-M
